[2026-01-26 12:25:12,986] 16 root - INFO - Initiating Data Ingestion
[2026-01-26 12:25:15,390] 73 root - INFO - Performed train test split on the Dataframe
[2026-01-26 12:25:15,391] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[2026-01-26 12:25:15,391] 77 root - INFO - Exporting train and test file path
[2026-01-26 12:25:15,429] 80 root - INFO - Exported train and test file path
[2026-01-26 12:25:15,429] 18 root - INFO - Data Ingestion Completed
[2026-01-26 12:25:15,434] 22 root - INFO - Initiating Data Validation
[2026-01-26 12:25:15,476] 34 root - INFO - Required number of columns : 2
[2026-01-26 12:25:15,476] 35 root - INFO - DataFrame has columns : 31
[2026-01-26 12:25:15,476] 34 root - INFO - Required number of columns : 2
[2026-01-26 12:25:15,476] 35 root - INFO - DataFrame has columns : 31
[2026-01-26 12:25:15,572] 24 root - INFO - Data Validation Completed
[2026-01-26 12:25:15,573] 27 root - INFO - data transformation started
[2026-01-26 12:25:15,573] 43 root - INFO - Entered initiate_data_transformation mehtod of dataTransformation class
[2026-01-26 12:25:15,573] 45 root - INFO - Starting data tranformation
[2026-01-26 12:25:15,589] 33 root - INFO - Entered get_data_transformer_object in DataTransformation class
[2026-01-26 12:25:15,589] 36 root - INFO - Initalize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-26 12:25:15,597] 43 root - INFO - Entered the Save Object method of Main Utils Class
[2026-01-26 12:25:15,599] 47 root - INFO - Exited the save_bject method of main Utils class
[2026-01-26 12:25:15,600] 31 root - INFO - data transformation completed
[2026-01-26 12:25:15,600] 32 root - INFO - Model Training Started
[2026-01-26 12:25:19,062] 43 root - INFO - Entered the Save Object method of Main Utils Class
[2026-01-26 12:25:19,075] 47 root - INFO - Exited the save_bject method of main Utils class
[2026-01-26 12:25:19,075] 66 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\26_01_26_12_25_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914323152907973, precision_score=0.9881454691581274, recall_score=0.9947411003236246), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9734585545120458, precision_score=0.9644012944983819, recall_score=0.9826875515251443))
[2026-01-26 12:25:19,076] 36 root - INFO - Model Training artifact Created
