[2026-01-27 10:54:30,654] 16 root - INFO - Initiating Data Ingestion
[2026-01-27 10:54:33,600] 73 root - INFO - Performed train test split on the Dataframe
[2026-01-27 10:54:33,600] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[2026-01-27 10:54:33,601] 77 root - INFO - Exporting train and test file path
[2026-01-27 10:54:33,639] 80 root - INFO - Exported train and test file path
[2026-01-27 10:54:33,639] 18 root - INFO - Data Ingestion Completed
[2026-01-27 10:54:33,655] 22 root - INFO - Initiating Data Validation
[2026-01-27 10:54:33,697] 34 root - INFO - Required number of columns : 2
[2026-01-27 10:54:33,697] 35 root - INFO - DataFrame has columns : 31
[2026-01-27 10:54:33,697] 34 root - INFO - Required number of columns : 2
[2026-01-27 10:54:33,697] 35 root - INFO - DataFrame has columns : 31
[2026-01-27 10:54:33,802] 24 root - INFO - Data Validation Completed
[2026-01-27 10:54:33,802] 27 root - INFO - data transformation started
[2026-01-27 10:54:33,802] 43 root - INFO - Entered initiate_data_transformation mehtod of dataTransformation class
[2026-01-27 10:54:33,802] 45 root - INFO - Starting data tranformation
[2026-01-27 10:54:33,817] 33 root - INFO - Entered get_data_transformer_object in DataTransformation class
[2026-01-27 10:54:33,817] 36 root - INFO - Initalize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-27 10:54:33,825] 43 root - INFO - Entered the Save Object method of Main Utils Class
[2026-01-27 10:54:33,828] 47 root - INFO - Exited the save_bject method of main Utils class
[2026-01-27 10:54:33,829] 31 root - INFO - data transformation completed
[2026-01-27 10:54:33,829] 32 root - INFO - Model Training Started
[2026-01-27 10:54:48,759] 43 root - INFO - Entered the Save Object method of Main Utils Class
[2026-01-27 10:54:48,771] 47 root - INFO - Exited the save_bject method of main Utils class
[2026-01-27 10:54:48,771] 79 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\27_01_26_10_54_29\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910386965376782, precision_score=0.9894265961773079, recall_score=0.99265605875153), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9752593774940144, precision_score=0.9768185451638689, recall_score=0.9737051792828685))
[2026-01-27 10:54:48,771] 36 root - INFO - Model Training artifact Created
